time,backend_mib,chromium,running,queued,stuck25m,failed,issue,tasks,test_case,test_run,comment,sprint10_tip
03:58:10,21,46,4,0,0,0,180,426,77,0,968,72eb7fbefc
03:59:19,25.23,46,8,0,0,0,184,431,77,0,970,72eb7fbefc
04:04:22,17.14,53,6,0,0,0,184,434,77,0,977,747c069e2b
04:09:25,23.33,52,9,0,0,0,184,440,91,12,988,e6bf608c00
04:14:28,23.35,58,10,1,0,0,186,453,145,24,1003,036229cc6f
04:19:31,30.45,54,,,,,,,,,,036229cc6f
04:59:44,,49,,,,,,,,,,036229cc6f
05:04:47,,42,,,,,,,,,,036229cc6f
05:09:50,,42,,,,,,,,,,036229cc6f
05:14:52,,43,,,,,,,,,,036229cc6f
05:19:55,,42,,,,,,,,,,036229cc6f
05:24:57,,42,,,,,,,,,,036229cc6f
05:30:00,37.46,42,0,7,0,7,187,470,173,48,1018,036229cc6f
05:35:03,18.85,42,5,0,0,5,187,470,184,60,1024,036229cc6f
05:40:06,23.68,43,1,0,0,2,188,472,184,72,1032,036229cc6f
05:45:09,24.12,49,1,0,0,2,188,472,184,72,1032,036229cc6f
