app,phase,cold_ms,warm_ms
sandbox,browser_launch,2170,359
sandbox,nav_login_dom,700,765
sandbox,login_networkidle,583,687
sandbox,login_flow(fill+submit+redirect),1597,1305
sandbox,nav_stock_dom(2.2MB),587,645
sandbox,stock_table_visible,10,10
sandbox,nav_createorder_dom,480,489
sandbox,FULL_SMOKE_TOTAL,6800,4924
agora-cs,browser_launch,574,343
agora-cs,nav_login_dom,1088,899
agora-cs,login_flow(SPA),1646,1644
agora-cs,dash_render,809,825
agora-cs,nav_pricetype,852,864
agora-cs,FULL_SMOKE_TOTAL,5750,5385
server_ttfb,sandbox_dashboard,,533
server_ttfb,sandbox_stock_2.2MB,,459
server_ttfb,sandbox_createorder,,272
